fecha_firma,fecha_pub,numero,categoria,localidad,direccion,circunscripcion,seccion,objeto,pdf
10/09/2025,24/09/2025,DECRE-2025-1082-SI-INTEN,Factibilidad | Permiso de Localización | Altura/FOT/FOS | Zonificación/C.O.U.,Beccar,,VIII,D,Expediente Nº 645/2025 - Consulta de factibilidad: Autorización a ALPARAMIS S.A. (C.U.I.T. Nº 30-59988339-4). Inmueble Juan Bautista Justo N° 1425.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1758140952.pdf
11/09/2025,24/09/2025,DECRE-2025-1096-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,Avenida del Libertador General San Martín Nros,I,B,"Expedientes Nros. 11458-2014, 5968-2015 y 10644-2015 (Cuerpos 0 y 2) - Consulta de factibilidad: autorizar a LIBERTADOR 16942 S.A. (C.U.I.T. N° 30-71840576-5) a realizar un proyecto con destino “Edificio de Oficinas”.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1758141840.pdf
11/09/2025,24/09/2025,DECRE-2025-1095-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Beccar,calle Ada Elflein N° 2434 de la ciudad de Béccar,VII,B,Expediente Nº 14216/2024 - Consulta de factibilidad: autorizar a PROGRUP S.A. (C.U.I.T. N° 30-70175093-0) a la construcción de un Proyecto de “Viviendas Unifamiliares Agrupadas”.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1758141818.pdf
11/09/2025,24/09/2025,DECRE-2025-1092-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,III,B,Expediente N° 10619/2019 - Consulta de factibilidad: modificar los Apartados A7 y A8 del artículo 2° del Decreto N° 91/2020.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1758141759.pdf
01/10/2025,17/10/2025,DECRE-2025-1163-SI-INTEN,Factibilidad,general / sin inmueble,,,,Expediente Nº EX-2025-00159600-SI-CONT - Modificar el Cálculo de Recursos y el Presupuesto General de Gastos para el Ejercicio 2025.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1760017975.pdf
24/10/2025,31/10/2025,DECRE-2025-1249-SI-INTEN,Factibilidad | Zonificación/C.O.U.,general / sin inmueble,Avenida Centenario N° 77 -1er- de este partido,,,"Expediente N° EX-2025-00225734-SI-SSOBPU - Llamar a Licitación Pública N° 62/2025, para la “PUESTA EN VALOR DEL NUEVO NATATORIO DEL CAMPO DE DEPORTES N° 5”.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1761590091.pdf
29/10/2025,31/10/2025,DECRE-2025-1284-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,IV,B,Expediente N° 7060-2017 (Cuerpos 0 y 2) y su acumulado por cuerda Nº 13.389/2017 (Cuerpos 0 y 2) - Consulta de Factibilidad: Autorizar proyecto con destino “Vivienda Multifamiliar y Vivienda Unifamiliar Agrupada” - Derog,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1761921046.pdf
11/11/2025,25/11/2025,DECRE-2025-1355-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,,VI,A,Expedientes Nº 2914/2025 (y su acumulado por cuerda N° 3348/2025) - Consulta de Factibilidad: “Soleil Factory”.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1764078736.pdf
27/11/2025,05/12/2025,DECRE-2025-1434-SI-INTEN,Zonificación/C.O.U.,general / sin inmueble,,,,Expediente N° EX-2025-00069748-SI-DGRRHH - Rectificar el artículo 2° del Decreto N° 604/2025.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1764855671.pdf
17/12/2025,19/12/2025,DECRE-2025-1555-SI-INTEN,Factibilidad | Zonificación/C.O.U.,Boulogne,,VI,D,Expedientes Nros. 13.934/2017 y 17.920/2017,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1766158321.pdf
22/12/2025,30/12/2025,DECRE-2025-1574-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,San Isidro,,VII,H,Expediente N° 2633/2025 - Consulta de factibilidad: autorizar a la Sra. Saguier y los Sres. Marcó del Pont a construir el proyecto “Viviendas Unifamiliares Agrupadas” en los inmuebles ubicados en la Avenida Sucre Nros.17,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1767040465.pdf
08/01/2026,26/02/2026,DECRE-2026-20-SI-INTEN,Factibilidad | Permiso de Localización | Altura/FOT/FOS | Zonificación/C.O.U.,Boulogne,,VI,J,Expediente N° 3985/2025 - Consulta de factibilidad: Instituto Cardenal Newman.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1771419248.pdf
16/01/2026,26/02/2026,DECRE-2026-63-SI-INTEN,Factibilidad,general / sin inmueble,Avenida Centenario N° 77 -1er,,,Expediente N° EX-2025-00357169-SI-SSOBPU - Llamar a Licitación Pública N° 69/2025 para la obra referente al “NUEVO SISTEMA DE CLIMATIZACIÓN DE AIRE DEL NATATORIO DEL CAMPO DE DEPORTES Nº 2”.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1771420908.pdf
20/01/2026,26/02/2026,DECRE-2026-72-SI-INTEN,Factibilidad,general / sin inmueble,,,,Expediente Nª EX-2025-00270937-SI-SECAMEP - Redeterminación de Precios de ls Licitación Pública N° 14/2021 para la contratación de la obra “CONSTRUCCIÓN DE DESAGÜE – CUENCA ALTO PERÚ – ETAPA I”.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1771421128.pdf
21/01/2026,26/02/2026,DECRE-2026-81-SI-INTEN,Zonificación/C.O.U.,general / sin inmueble,,,,Expediente N° 1417-2022 - Autorizar al personal dependiente de la Subsecretaría de Planeamiento Urbano a realizar tareas especiales.-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1771421408.pdf
19/02/2026,31/03/2026,DECRE-2026-209-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Beccar,"calle José Ingenieros N° 2250, con frente a las calles Intendente Neyer y Madame Curie",VII,B,"Expediente N° 3242/2025 - Consulta de Factibilidad: Autorizar a “UNIBOX LOGÍSTICA S.R.L.” a realizar un proyecto de “Regularización, Ampliación y Puesta en Valor”.-",https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1772738811.pdf
13/03/2026,28/04/2026,DECRE-2026-305-SI-INTEN,Zonificación/C.O.U.,Martínez,,III,H,Expediente Nº 12950-2024 - Transferir a título gratuito el excedente fiscal a favor de los Sres. Manuel Constantino Alberto Álvarez (DNI N° 11.543.733) y María del Carmen Álvarez (DNI N° 11.230.491).-,https://tesi.sanisidro.gob.ar/nfs-storage/gde/v2/gde_1776440041.pdf
19/03/2026,21/05/2026,DECRE-2026-321-SI-INTEN,Factibilidad,general / sin inmueble,,,,Expediente N° EX-2026-00031668-SI-SDMEYA - Redeterminación de Precios de la Licitación Pública N° 14/2021 para la contratación de la obra “CONSTRUCCIÓN DE DESAGÜE – CUENCA ALTO PERÚ – ETAPA I”.-,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IlBkVDcxbWM2blBJQUFDSk9TUG1NUEE9PSIsInZhbHVlIjoiTUlkQjFzNU9mYzZoTGVORFo5aFdWUlllTWRHVERLT0hwampIVzJRMVk1eHlHbkR2Zk5aTW1kMzdXK2o4bEJlSSIsIm1hYyI6IjBjOTk1NzA5ZTQyYWUzYTAyNWMwNjFjZTE1YmVhNDY4YmJhMjJjN2YwMmI0M2Y0NTg4ZGNlNGJkNTJjMjY1ZmIiLCJ0YWciOiIifQ==
06/04/2026,01/06/2026,DECRE-2026-386-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,IV,C,"Expediente Nº EX-2025-00296240-SI-SDMEYA - Expediente N° 2709/2025 y su acumulado por cuerda N° 3970/2025 - Consulta de Factibilidad: Autorización proyecto de “Urbanización Especial"" inmueble sito Hipólito Yrigoyen y Can",https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6ImRaY0RlTzh5SFdpVll6ZGJrNUg5dXc9PSIsInZhbHVlIjoieTJPdnk5aVNEQ21FRklUb3JPRHJlWE92eHFhN2I4SEh3M251M3NRYmtTVWN0L2o2QTl1U01BVzB5czlNWDJUZCIsIm1hYyI6IjUxOWYyYjIwYjBhOWE1N2ZjZjE3YjMxYmU5MTBkNTJiNTUzZTViYmYyNzFiNWZhZTQ0MmEyMzM2Njc3YzY1ZmIiLCJ0YWciOiIifQ==
17/04/2026,01/06/2026,DECRE-2026-439-SI-INTEN,Factibilidad,general / sin inmueble,,,,Expediente N° EX-2026-00077628-SI-SDMEYA - Redeterminación Definitiva de Precios Nº 29. Construcción de Desagüe - Cuenca Alto Perú Etapa I’ (Licitación Pública Nº 14/2021),https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkllMUFEWGFSUGVSRTh1M0pHT2k5cmc9PSIsInZhbHVlIjoiR3kvN2R5Y2VMMU1SUHk0Tm9uUGFmT2tKT3ZaYzErcjNxVW9jY2tnZGNkWVRqdVNxbDdKbGREejdPdDZzU3oyRyIsIm1hYyI6IjAxODI5MjU1YmYyZGYzMTUxMjQ3OTUyZWEyODRlOGU1NzEzMzVlYmFlYWVjM2RhY2MxMGU2MDBhYzQzMGM5YzUiLCJ0YWciOiIifQ==
27/04/2026,02/06/2026,DECRE-2026-484-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Beccar,"Zonificación IE - Radio 1, cuenta con una superficie aproximada de 5",VII,E,"Expediente N° 1510/2020 (cuerpos 0 y 2) y su acumulado por cuerda N° 6188/2020 (cuerpos 0, 2 y 3) - Consulta de Factibilidad: Proyecto de “Urbanización Especial Residencial"" Ramos Mejía N° 2694-",https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IjVEWGNCSjllZGFLT1JMRkk1SkJkV3c9PSIsInZhbHVlIjoiYXF1MjBOUUlsbmJya1BNL2JCQ1BUdWxzMEc4bXMxaTVIVnZiZWU3TzNMNzhRVVBwRDRKTXpkTHQzWXUwdVdiNiIsIm1hYyI6IjYwZGNmMWExYzcyZTg1ZjcyMTQ3YWVlNWMzMzNlYzdlMGE1MDY3MGUwZDgwMzgzYTUwM2JmYzVjZDY1ZGVkM2QiLCJ0YWciOiIifQ==
28/04/2026,02/06/2026,DECRE-2026-491-SI-INTEN,Factibilidad,general / sin inmueble,,,,"Expediente Nº EX-2026-00145839-SI-SSOBPU - Aprobar el Balance de Economías, Demasías y Adicionales y prorrogar el plazo contractual de la obra “CONSTRUCCIÓN DE DESAGÜES PLUVIALES CUENCA ALTO PERÚ - COLECTOR ALTO PERÚ - E",https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6InZuUmxJbTVvS2UzbFdySU5lbUt6Snc9PSIsInZhbHVlIjoiMnRQakFVRnJpcTc3TldVckhHMVRoNStMM1BGa2xSNklIOTA0SXoxYTNibFNYOGFzYVJCUEZjeGFRQm1EWG5JdSIsIm1hYyI6IjI0ZjhiMjE4MTg5MTBiMGNiNDE5Y2Q2MmM4OGFiMTY0YTY1YzRiZjQ1ZDEzNDEzOGI4ZDE4Mjc5YjFjYjIyYTEiLCJ0YWciOiIifQ==
18/05/2026,17/07/2026,DECRE-2026-560-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,"calle Cuyo, entre calles Panamá y Entre Ríos",IV,D,"Expediente N° 12634/2024 (cuerpos 0 y 2) y sus acumulados por cuerda - Consulta de Factibilidad y Declaración de Impacto Ambiental: Cuyo, Panamá y Entre Ríos, Martínez.-",https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkYyb0VSc1E4UU14d2U0UnErMWNYTnc9PSIsInZhbHVlIjoiWnMxMlZhVzhPdmI0UGJSTXNJUXR0a29Sa2NQZ0ZpQXlvcndraG9QYW1pbEQ2NVNmeHI5aG1NYlR6a2lwT25iNiIsIm1hYyI6IjU0ZGNhMmJiMzM0ZWFhYzFiZTAyMTQyNWQ0YWJlNzljYTU1NWYwNTZlNmNlYjUxMDJhMDQ5OGFkMTczYWU1ZmYiLCJ0YWciOiIifQ==
26/05/2026,01/06/2026,DECRE-2026-581-SI-INTEN,Zonificación/C.O.U.,general / sin inmueble,,,,Expediente Nº EX-2026-00124638-SI-SSPLAUR - Promulgar y hacer cumplir la Ordenanza Municipal N° 9432.-,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IkROV2JFZXRTL2JWWHlGbElXc2F1VWc9PSIsInZhbHVlIjoicUZiZVkzaGtnOGRpNVhhZlJIWGNCbU5sS1E1SHoxcEliaCtoZDdLcUxhY2J0Tk4vb0NtdTVsZ3pCNnoxV0FuQiIsIm1hYyI6ImUzNjA2OTE1MzAyMmYzODNjYzkyN2IyYzE5MDVhMzI3MWE4YTFmODVlYWUyOTkxNTM1ZTM4MzNhNWJmYzkyZjYiLCJ0YWciOiIifQ==
10/06/2026,23/07/2026,DECRE-2026-628-SI-INTEN,Factibilidad | Altura/FOT/FOS | Zonificación/C.O.U.,Martínez,,IV,A,Expediente N° 4118/2025 y su acumulado por cuerda N° 3/2026 - Aprobación del Proyecto de “Urbanización Especial” Centro Comercial “Unicenter”.-,https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6ImUvMGtKUGRjQm1JMWRRM2tTbkcvS0E9PSIsInZhbHVlIjoiQTV1SGNCMmxHaXFVMFBGVk5uV3FXc3hRQmFDWHB1TWZHT0xCMjVOaGRGSVNXQUVhRWF2akx6bWlkRU9DbUJDWiIsIm1hYyI6IjJhN2I4NjAzOTdhOTllM2JjODNlMTIyMWMwY2U0YmQ4ZjRkYzQwZTVhOWQ5ZGEwNWEyMjVmOGQ4MDI2NGRiZmEiLCJ0YWciOiIifQ==
15/07/2026,24/08/2026,DECRE-2026-766-SI-INTEN,Factibilidad,general / sin inmueble,,,,"Expediente Nº EX-2026-00107196-SI-SDMEYA - Redeterminación Definitiva de Precios Nº 30, de la obra “CONSTRUCCIÓN DE DESAGÜES PLUVIALES – CUENCA ALTO PERÚ - ETAPA I” (Licitación Pública Nº 14/2021).-",https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6Im5pbFFUbUJXUFAvdlk3b1poTXJQanc9PSIsInZhbHVlIjoickZkd0dmYVdGWXh6NDEyNFBYeEd0ei8waVBqdDBUK0ZqU2JOKytCQjg3Z1E5NmQzUmZReUhWVWhYZXNYNmRXZiIsIm1hYyI6IjMxY2M3Y2ZjOTBhY2RlODU1MDQ5ZDg3ZWE3ZjRhMDI4ZTcxMTE2Y2Y2MGJjMWJmYmE4OWY5OGZiMDJjZjBlODMiLCJ0YWciOiIifQ==
17/07/2026,28/08/2026,DECRE-2026-768-SI-INTEN,Zonificación/C.O.U.,general / sin inmueble,,7,E,"Expediente Nº 13.269/2024 - Rechazar el recurso jerárquico interpuesto por los Señores Alejandro Javier Gossn, Horacio Alberto Gossn y Pedro Sebastián Gossn, y la Señora María Clara Gossn contra la Resolución RESFC-2025-",https://tesi.sanisidro.gob.ar/boletin/pdf/eyJpdiI6IlY5aytSbWtaWm9PaGFzOXdJRFVwOEE9PSIsInZhbHVlIjoiRDFYUTkxTVBaUW1YVTR1ZTg5LzhKb0VSZXlYekczNU5rbzNjOHhWT0N5WGJFUUxDNVlZTGlvTSt6b0M4YWlpcCIsIm1hYyI6ImFkY2IwZDYyYTZiMGExYjZhMGNlZDZhYzBmNWM4NmQ4MzAwNzk5NzAxN2RlYmNiOTU0N2VkYjY3NzdhOTkzZWIiLCJ0YWciOiIifQ==
