recordNumber,recordDate,projectType,politicalParty,author,topic,parlState,commissionEntryDate,commissionReportDate,diasEnComision,subtheme
00508-2024-HCD,2024-07-26,,La Libertad Avanza San Isidro Libre,Alberto Montes,Arbolado Público,Sancionado,2024-08-08,2024-08-12,4,"S/ LA PODA Y RALEO EN ALTURA DE LOS ÁRBOLES QUE SE ENCUENTRAN EN LA CALLE AMÉRICA, ENTRE LAS CALLES INT. NEYER Y ADA ELFLEIN, DE LA CIUDAD DE BECCAR."
00526-2024-HCD,2024-08-01,RES - Resolución,Bloque Bloque FR - Unión X La Patria,Meca Federico,Presupuesto,Sancionado,2024-08-08,,776,EL H.C.D. EXPRESA SU PREOCUPACIÓN POR LA FALTA DE RESPUESTAS A LOS PLANTEOS DE PARITARIAS.
00519-2024-HCD,2024-08-01,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Repudio,Archivado,2024-08-08,,776,"EL H.C.D. EXPRESA SU RECHAZO A LA DECISIÓN DEL PODER EJECUTIVO NACIONAL INSTRUMENTADA POR LA RESOLUCIÓN GENERAL DE LA INSPECCIÓN GENERAL DE JUSTICIA N° 15/2024, QUE HABILITA LA TRANSFORMACIÓN DE LAS ASOCIACIONES CIVILES SIN FINES DE LUCRO EN SOCIEDADES ANÓNIMAS DEPORTIVAS.-"
00525-2024-HCD,2024-08-01,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Salud Pública,Archivado,2024-08-08,,776,CREANDO EL PROGRAMA MUNICIPAL DE PREVENCION DEL SUICIDIO EN ADOLESCENTES.
00522-2024-HCD,2024-08-01,RES - Resolución,Bloque Bloque FR - Unión X La Patria,Rivadulla Estefania,Adhesión,Sancionado,2024-08-08,2024-09-12,35,"ADHIRIENDO A LA LEY PROVINCIAL N° 15.491, QUE DA MARCO LEGAL AL TRATAMIENTO DE LA ENFERMEDAD LLAMADA ENDOMETRIOSIS EN EL ÁMBITO DE LA PCIA. DE BS. AS.-"
00546-2024-HCD,2024-08-02,RES - Resolución,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Declaración de Interes,Archivado,2024-08-07,,777,"EL H.C.D. DECLARA DE INTERÉS LA MARCHA ""POR LOS DERECHOS HUMANOS DE AYER Y HOY"" REALIZADA EL PASADO 16 DE MAYO Y LLEVADA ADELANTE POR LA MESA POR LA MEMORIA DE CAMPO DE MAYO"
00557-2024-HCD,2024-08-02,RES - Resolución,Bloque Unión X La Patria,Diaz Marcos,Declaración de Interes,Archivado,2024-08-08,,776,"DECLARANDO DE INTERÉS EL PROGRAMA ""CORTA A TIEMPO"", DICTADO POR LA DEFENSORÍA DEL PUEBLO DE LA PROVINCIA DE BUENOS AIRES"
00565-2024-HCD,2024-08-02,RES - Resolución,La Libertad Avanza,Debora Ruiz Ceballos,Repudio,Sancionado,2024-08-08,,776,EL H.C.D. EXPRESA SU REPUDIO AL RÉGIMEN DICTATORIAL DE NICOLÁS MADURO EN VENEZUELA.
00554-2024-HCD,2024-08-02,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Zoonosis y Vectores,Archivado,2024-08-08,,776,CREANDO EL CONSULTORIO VIRTUAL VETERINARIO DE SAN ISIDRO.
00556-2024-HCD,2024-08-02,RES - Resolución,Bloque Unión X La Patria,Diaz Marcos,Declaración de Interes,Archivado,2024-08-08,,776,"DECLARANDO DE INTERÉS EL PROGRAMA ""HABLEMOS DE BULLYING"", DICTADO POR LA DEFENSORÍA DEL PUEBLO DE LA PROVINCIA DE BUENOS AIRES."
00548-2024-HCD,2024-08-02,ORD - Ordenanza,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),ORDENANZA FISCAL,Archivado,2024-08-08,,776,MODIFICANDO EL ARTÍCULO 55 DE LA ORDENANZA FISCAL VIGENTE.
00535-2024-HCD,2024-08-02,ORD - Ordenanza,Bloque Unión X La Patria,Schuppisser Manuela,Otros,Archivado,2024-08-08,,776,CREANDO LAS CONSEJERÍAS PARA LA REDUCCIÓN DE RIESGOS Y DAÑOS EN SITUACIONES DE EMBARAZOS NO PLANIFICADOS
00541-2024-HCD,2024-08-02,DEC - Decreto,Bloque Unión X La Patria,Schuppisser Manuela,Declaración,Sancionado,2024-08-08,2024-08-15,7,"DECLARANDO EL 30 DE AGOSTO DE CADA AÑO EL ""DÍA INTERNACIONAL DEL DETENIDO DESAPARECIDO"" EN ESTE H.C.D."
00540-2024-HCD,2024-08-02,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Repudio,Sancionado,2024-08-08,2024-08-15,7,EL H.C.D. MANIFIESTA SU PREOCUPACION POR LA VISITA REALIZADA POR VARIOS DIPUTADOS NACIONALES DEL BLOQUE LA LIBERTADA AVANZA A GENOCIDAS CONDENADOS POR DELITOS DE LESA HUMANIDAD EN LA UNIDAD PENITENCIARIA DE EZEIZA N°31.
00533-2024-HCD,2024-08-02,DEC - Decreto,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Otros,En comisión,2024-08-08,2024-08-15,7,DISPONIENDO LA COLOCACIÓN DE UN CARTEL EN LA FACHADA DE ESTE EDIFICIO DONDE SE INDIQUE QUE AQUI FUNCIONA EL HONORABLE CONCEJO DELIBERANTE DE SAN ISIDRO
00531-2024-HCD,2024-08-02,ORD - Ordenanza,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Declaración,Sancionado,2024-08-08,2024-08-15,7,DECLARANDO AL TURISMO COMO ACTIVIDAD SOCIOECONÓMICA ESTRATÉGICA Y ESCENCIAL PARA EL DESARROLLO DEL DISTRITO
0014057-2023-A,2024-08-09,ORD - Ordenanza,,Otros,Adhesión,Sancionado,2024-08-08,2024-08-15,7,SOLICITA ADHESIÓN A LA LEY 12875. REGIMEN PREVISIONAL ESPECIAL PARA SOLDADOS CONSCRIPTOS EX COMBATIENTES DE LAS FUERZAS ARMADAS Y DE SEGURIDAD
00601-2024-HCD,2024-08-16,RES - Resolución,La Libertad Avanza,Feldtmann Maria Ines,Repudio,Archivado,2024-08-22,,762,EL H.C.D. EXPRESA SU PREOCUPACIÓN Y REPUDIO A LOS ACTOS DE VIOLENCIA FÍSICA Y PSICOLÓGICA DEL EX PRESIDENTE ALBERTO FERNÁNDEZ CONTRA FABIOLA YÁÑEZ.
00590-2024-HCD,2024-08-16,RES - Resolución,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),Otros,Archivado,2024-08-22,,762,"EL H.C.D. EXPRESA SU CONFORMIDAD CON LA MEDIA SANCIÓN QUE OBTUVO EL PROYECTO DE LEY 0322-D-2024, EN LA HONORABLE CÁMARA DE DIPUTADOS DE LA NACIÓN.-"
00591-2024-HCD,2024-08-16,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Otros,Archivado,2024-08-22,,762,"ESTABLECIENDO UNA ARTICULACIÓN EFECTIVA ENTRE LA SECRETARÍA DE EMPLEO Y LOS CENTROS DE FORMACIÓN PROFESIONALES, PARA LA CESIÓN DE NUEVOS EMPLEOS EN EL DISTRITO.-"
00574-2024-HCD,2024-08-16,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Adhesión,Sancionado,2024-08-22,2025-03-27,217,ADHIRIENDO A LA LEY NACIONAL N° 27.043 Y A LA LEY PROVINCIAL N° 15.035 QUE REFIEREN AL ABORDAJE INTEGRAL E INTERDISCIPLINARIO DE LAS PERSONAS QUE PRESENTAN TRASTORNOS DEL ESPECTRO AUTISTA (TEA).-
00589-2024-HCD,2024-08-16,ORD - Ordenanza,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),Otros,Sancionado,2024-08-22,2024-11-13,83,"IMPLEMENTANDO EN TODOS LOS ESTABLECIMIENTOS EDUCATIVOS DE GESTIÓN PÚBLICA MUNICIPAL, Y EN ESPACIOS PÚBLICOS DEL DISTRITO, EL BLOQUEO DE LOS SITIOS DE APUESTAS ONLINE EN TODAS LAS REDES DE INTERNET POR WIFI GRATUITO.-"
00570-2024-HCD,2024-08-16,ORD - Ordenanza,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),Declaración de Interes,Sancionado,2024-08-22,2024-09-26,35,DECLARANDO DE INTERÉS CULTURAL MUNICIPAL LA LABOR REALIZADA POR EL EXPLORATORIO DE CIENCIAS DE SAN ISIDRO.
00585-2024-HCD,2024-08-16,DEC - Decreto,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Declaración de Interes,Sancionado,2024-08-22,2024-09-12,21,"EL H.C.D. DECLARA DE INTERÉS LA MUESTRA DE ARTE ""GRUPO ESPARTACO"" DE LA GALERIA DE ARTE JUANA DE ARTE, UBICADA EN LA CIUDAD DE MARTÍNEZ.-"
004862-2024-S,2024-08-20,ORD - Ordenanza,Ejecutivo,Ejecutivo,Legítimo Abono,Sancionado,2024-08-22,2024-08-29,7,LEGITIMO ABONO
004863-2024-S,2024-08-20,ORD - Ordenanza,Ejecutivo,Ejecutivo,Legítimo Abono,Sancionado,2024-08-22,2024-08-29,7,LEGITIMO ABONO
00615-2024-HCD,2024-08-28,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración,En comisión,2024-09-05,,748,"EL H.C.D. DECLARA EL 4 DE SEPTIEMBRE DE CADA AÑO COMO EL ""DIA MUNDIAL DE SALUD SEXUAL""."
00624-2024-HCD,2024-08-30,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Educación,Archivado,2024-09-05,,748,CREANDO EL OBSERVATORIO MUNICIPAL DEL BULLYING
00635-2024-HCD,2024-08-30,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Comercios e Industrias,En comisión,2024-09-05,,748,"AUTORIZÁNDO EN EL PARTIDO DE SAN ISIDRO EL EJERCICIO DE LA ACTIVIDAD GASTRONÓMICA DE LOS CARROS DE COMIDAS DENOMINADOS ""FOOD TRUCKS""."
00626-2024-HCD,2024-08-30,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Presupuesto,Archivado,2024-09-05,,748,"CREANDO EL ""PROGRAMA MUNICIPAL DE PRESUPUESTO PARTICIPATIVO"" EN EL MUNICIPIO DE SAN ISIDRO"
00627-2024-HCD,2024-08-30,RES - Resolución,Bloque Bloque FR - Unión X La Patria,Meca Federico,Reconocimiento,Sancionado,2024-09-05,2024-09-12,7,EL H.C.D. EXPRESA SU RECONOCIMIENTO Y FELICITACIONES AL COLEGIO REPÚBLICA ARGENTINA POR CUMPLIRSE 40 AÑOS DE SU FUNDACIÓN.
00658-2024-HCD,2024-09-11,DEC - Decreto,Bloque Unión X La Patria,Schuppisser Manuela,Medio Ambiente,Sancionado,2024-09-19,,734,S/ SE IMPLEMENTE UNA CAMPAÑA DE RECOLECCIÓN DE RAEES EN EL EDIFICIO DE ESTE HONORABLE CONCEJO DELIBERANTE.
00660-2024-HCD,2024-09-11,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Medio Ambiente,Archivado,2024-09-19,,734,"CREANDO EL ""DIGESTO AMBIENTAL"" EN EL ÁMBITO DEL MUNICIPIO DE SAN ISIDRO."
00661-2024-HCD,2024-09-11,DEC - Decreto,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Salud Pública,Sancionado,2024-09-18,2024-09-25,7,INSTALANDO UN DESFIBRILADOR EXTERNO AUTOMÁTICO (DEA) EN EL INTERIOR DE ESTE HONORABLE CONCEJO DELIBERANTE.
00657-2024-HCD,2024-09-11,RES - Resolución,Bloque Unión X La Patria,Diaz Marcos,Declaración de Interes,Sancionado,2024-09-19,2024-09-26,7,"EL H.C.D. DECLARA DE INTERÉS EL FESTIVAL TEATRAL ""NORESTADA""."
00690-2024-HCD,2024-09-13,DEC - Decreto,Bloque Unión X La Patria,Bartolini Mateo (mandato cumplido),Reconocimiento,Archivado,2024-09-19,,734,DISPONIENDO LA COLOCACIÓN DE UNA PLACA CONMEMORATIVA EN EL CEMENTERIO DE BOULOGNE CON MOTIVO DE CUMPLIRSE EL 40° ANIVERSARIO DE LA PRIMERA EXHUMACIÓN DEL EQUIPO ARGENTINO DE ANTROPOLOGÍA FORENSE EN EL PAÍS Y QUE SE REALIZÓ EN DICHO CEMENTERIO.
00695-2024-HCD,2024-09-13,ORD - Ordenanza,Bloque Bloque FR - Unión X La Patria,Meca Federico,Otros,Sancionado,2024-09-19,2024-10-08,19,CREÁNDO EL PLAN INTEGRAL DE DEMARCACION DE SENDAS PEATONALES Y CONCIENTIZACIÓN EN EL PARTIDO DE SAN ISIDRO.-
00672-2024-HCD,2024-09-13,RES - Resolución,Bloque Bloque FR - Unión X La Patria,Meca Federico,Reconocimiento,Sancionado,2024-09-19,2024-09-26,7,"EL H.C.D. EXPRESA SU RECONOCIMIENTO Y FELICITA AL INSTITUTO SAN JOSÉ, M POR CUMPLIR 62 AÑOS DE SU FUNDACIÓN.-"
00676-2024-HCD,2024-09-13,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración de Interes,Sancionado,2024-09-19,2024-09-26,7,"EL H.C.D. DECLARA DE INTERÉS AL CORO ""STELLA MARIS"" POR SU APORTE A LA CULTURA DE NUESTRA CIUDAD.-"
003125-2024-S CUERPO 0-2,2024-09-23,ORD - Ordenanza,Ejecutivo,Ejecutivo,Patrimonio Municipal,Sancionado,2024-09-19,2024-09-26,7,BAJA PATRIMONIAL DE AUTOMÓVILES Y MOTOS. INCLUYE EXPTE. 7924-S-2024 (INFORME CHATARRIZACION DE VEHICULOS/ DEPOSITO JUDICIAL).
00732-2024-HCD,2024-09-27,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Medio Ambiente,Archivado,2024-10-03,,720,"ESTABLECIENDO LA OBLIGATORIEDAD PARA LOS LOCALES QUE OFREZCAN COMIDA AL PASO, CONTAR CON CESTOS DIFERENCIADOS PARA LA DISPOSICIÓN DE RESIDUOS RECICLABES Y NO RECICLABES."
00734-2024-HCD,2024-09-27,RES - Resolución,La Libertad Avanza,Feldtmann Maria Ines,Declaración,Sancionado,2024-10-03,,720,"DECLARANDO COMO ""PERSONALIDAD DESTACADA DEL PARTIDO DE SAN ISIDRO"" AL VECINO, MÚSICO, COMPOSITOR Y EMPRESARIO MICHEL PEYRONEL POR SUS INVALUABLES APORTES AL DESARROLLO DEL ROCK NACIONAL Y DEL TANGO Y CONSTANTE APOYO A LA MÚSICA NACIONAL.-"
00717-2024-HCD,2024-09-27,ORD - Ordenanza,Bloque Bloque FR - Unión X La Patria,Rivadulla Estefania,Otros,Archivado,2024-10-03,,720,"CREANDOEL PROGRAMA ""TECHOS Y TERRAZAS VERDES"", EN EL ÁMBITO DEL PARTIDO DE SAN ISIDRO.-"
00730-2024-HCD,2024-09-27,DEC - Decreto,Bloque Unión X La Patria,Diaz Marcos,Salud Pública,Archivado,2024-10-03,,720,DISPONIENDO LA INSTALACIÓN DE UN BOTIQUÍN DE PRIMEROS AUXILIOS EN CADA PISO DE ESTA HONORABLE CASA.-
00716-2024-HCD,2024-09-27,RES - Resolución,Bloque Bloque FR - Unión X La Patria,Meca Federico,Reconocimiento,Sancionado,2024-10-03,2024-11-14,42,"EL H.C.D. FELICITA A LOS JÓVENES SANISIDRENSES Y A TODO EL EQUIPO DE FÚTBOL CALLEJERO Y A LOS TÉCNICOS DEL PROGRAMA DE DESARROLLO PERSONAL DE HECHO CLUB SOCIAL, POR SU DESTACADA ACTUACIÓN REPRESENTANDO A LA ARGENTINA EN LA HOMELESS WORLD CUP SEUL 2024.-"
00743-2024-HCD,2024-09-27,RES - Resolución,Bloque Convocación por San Isidro,Riganti Catalina,Declaración de Interes,Sancionado,2024-10-03,2024-10-10,7,"EL H.C.D. DECLARA DE INTERÉS EL TRABAJO QUE LLEVABA A CABO LA ASOCIACIÓN CIVIL SIN FINES DE LUCRO ""CRUZ ROJA FILIAL SAN ISIDRO"" POR SU DESTACADA LABOR SOCIAL, HUMANITARIA Y VOLUNTARIA EN BENEFICIO DE LA COMUNIDAD SANISIDRENSE.-"
00740-2024-HCD,2024-09-27,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración de Interes,Sancionado,2024-10-03,2024-10-10,7,"DECLARANDO DE INTERÉS EL PROGRAMA PROVINCIAL ""ESI CON AMIGUES"".-"
09037-2024-C,2024-09-30,ORD - Ordenanza,Ejecutivo,Ejecutivo,Presupuesto,Sancionado,2024-10-03,2024-10-10,7,AMPLIACIÓN PRESUPUESTARIA 2024
03205-2024-S,2024-09-30,ORD - Ordenanza,Ejecutivo,Ejecutivo,Legítimo Abono,Sancionado,2024-10-03,2024-10-10,7,LEGITOMO ABONO
04861-2024-S,2024-09-30,ORD - Ordenanza,Ejecutivo,Ejecutivo,Legítimo Abono,Sancionado,2024-10-03,2024-10-10,7,LEGITIMO ABONO
00763-2024-HCD,2024-10-09,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración,Archivado,2024-10-17,,706,"EL H.C.D. EXPRESA SU PREOCUPACION Y RECHAZO POR LA DECISIÓN POLÍTICA DEL GOBIERNO NACIONAL DE REESTRUCTURAR EL HOSPITAL NACIONAL DE SALUD MENTAL ""LAURA BONAPARTE"" ÚNICO DEL PAÍS ESPECIALIZADO EN SALUD MENTAL."
00757-2024-HCD,2024-10-09,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración de Interes,Sancionado,2024-10-17,,706,EL H.C.D. DECLARA DE INTERÉS LA 3° MARCHA DEL ORGULLO LGTBI+ DE SAN ISIDRO.
00756-2024-HCD,2024-10-09,ORD - Ordenanza,Bloque Unión X La Patria,Schuppisser Manuela,Calles,En comisión,2024-10-17,,706,"MODIFICANDO EN TODO SU RECORRIDO EL NOMBRE DEL PASAJE 2 DEL BARRIO LA CAVA, POR EL DE EDUARDO ""LALO"" BARRIOS."
00750-2024-HCD,2024-10-09,ORD - Ordenanza,Bloque Unión X La Patria,Diaz Marcos,Ordenanza,Archivado,2024-10-17,,706,"CREANDO EL ESPACIO MUNICIPAL ""INNOVASI-ON""."
00754-2024-HCD,2024-10-09,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración de Interes,Sancionado,2024-10-17,2024-11-14,28,"EL H.C.D. DECLARA DE INTERÉS AL 22 DE OCTUBRE DE CADA AÑO COMO EL ""DÍA NACIONAL DEL DERECHO A LA IDENTIDAD""."
00803-2024-HCD,2024-10-10,RES - Resolución,Bloque Cambia San Isidro,Alvarado Guido,Reconocimiento,Sancionado,2024-10-17,,706,"EL H.C.D. EXPREA SU RECONOCIMIENTO Y FELICITACIÓN A LA ESCUELA SECUNDARIA N° 13 EX "" COLEGIO COMERCIAL DE SAN ISIDRO"", POR CUMPLIRSE 100 AÑS DE SU FUNDACIÓN."
00801-2024-HCD,2024-10-10,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Beneplácito,Sancionado,2024-10-17,,706,"EL H.C.D. EXPRESA SU BENEPLÁCITO POR LA CONMEMORACIÓN DEL ANIVERSARIO N° 100 DE LA ESCUELA NACIONAL DE COMERCIO DE SAN ISIDRO ""DR. MANUEL OBARRIO""."
00805-2024-HCD,2024-10-10,RES - Resolución,Bloque Unión X La Patria,Schuppisser Manuela,Declaración,Archivado,2024-10-17,,706,"EL H.C.D. MANIFIESTA SU INMENSA PREOCUPACIÓN POR LA VIOLENCIA INSTITUCIONAL QUE SUFRIERON LA CONCEJAL MANDATO CUMPLIDO FERNANDA MIÑO Y SU FAMILIA, DURANTE EL ALLANAMIENTO OCURRIDO EL PASADO 08 DE OCTUBRE DEL CORRIENTE AÑO, A CARGO DE LA DDI DE SAN MARTÍN Y EL GAD DE LA POLICÍA BONAERENSE."
00780-2024-HCD,2024-10-10,RES - Resolución,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Declaración,En comisión,2024-10-17,,706,"EL H.C.D. EXPRESA SU PREOCUPACIÓN POR LA HABILITACIÓN A JÓVNES DE 13 A 16 AÑOS PARA PARTICIPAR EN EL MERCADO DE CAPITALES MENDIANTE LA COMPRA DE ACCIONES, BONOS Y OTROS VALORES NEGOCIABLES."
00790-2024-HCD,2024-10-10,RES - Resolución,Bloque Unión X La Patria,Diaz Marcos,Declaración,Archivado,2024-10-17,,706,EL H.C.D. EXPRESA PREOCUPACIÓN POR LA FALTA DE ESPACIOS VERDES PÚBLICOS EN LA CIUDAD DE BOULOGNE.
00783-2024-HCD,2024-10-10,RES - Resolución,Bloque Bloque FR - Unión X La Patria,Meca Federico,Repudio,Archivado,2024-10-17,,706,EL H.C.D. REPUDIA ENÉRGICAMENTE EL VETO A LA LEY DE FINANACIAMIENTO UNIVERSITARIO.
00804-2024-HCD,2024-10-10,RES - Resolución,La Libertad Avanza,Debora Ruiz Ceballos,Repudio,Archivado,2024-10-17,,706,EL H.C.D. EXPRESA SU REPUDIO A LA VIOLENCIA DESMEDIDA Y A LOS ACTOS VANDÁLICOS PERPETRADOS POR LOS MANIFESTANTES DURANTE EL TRATAMIENTO DEL VETO A LA LEY DE FINANCIAMIENTO DE LAS UNIVERSIDADES NACIONALES EN EL CONGRESO DE LA NACIÓN.
00781-2024-HCD,2024-10-10,RES - Resolución,Bloque Convocación por San Isidro,Riganti Catalina,Declaración de Interes,Sancionado,2024-10-17,2024-11-14,28,"EL H.C.D. DECLARA DE INTERÉS EL PROYECTO DE INVESTIGACION TITULADO ""APRENDIZAJE BASADO EN PROYECTOS: INICIATIVA AMBIENTAL PARQUE PÚBLICO DE VILLA ADELINA"", PRESENTADO POR LOS ALUMNOS DEL SEXTO AÑO DE LA ESCUELA SECUNDARIA N° 11, DE LA CIUDAD DE VILLA ADELINA."
00806-2024-HCD,2024-10-10,RES - Resolución,La Libertad Avanza,Feldtmann Maria Ines,Beneplácito,Sancionado,2024-10-17,2024-11-14,28,"EL H.C. D. EXPRESA SU BENEPLÁCITO AL NUEVO DISEÑO CURRICULAR QUE SE IMPLEMENTARÁ A PARTIR DEL PROXIMO CICLO LECTIVO, EN LAS ESCUELAS PRIMARIAS DE LACIUDAD DE BUENOS AIRES."
00800-2024-HCD,2024-10-10,RES - Resolución,Bloque Cambia San Isidro,Alvarado Guido,Adhesión,Sancionado,2024-10-17,2024-10-24,7,"EL H.C.D. ADHIERE AL USO DE LA DEFINICIÓN DE ""ANTISEMITISMO"" AVALADA POR LA RESOLUCIÓN N° 114/2020 DEL MIN. DE RELACIONES EXTERIORES, COMERCIO INTERNACIONAL Y CULTO DE LA NACIÓN COMO HERRAMIENTA DE APLICACIÓN CONTRA LA LUCHA CONTRA EL ANTISEMITISMO HACIA LA COMUNIDAD JUDÍA-"
00764-2024-HCD,2024-10-10,RES - Resolución,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),Reconocimiento,Sancionado,2024-10-17,2024-10-24,7,"EL H.C.D. FELICITA A LA COMUNIDAD EDUCATIVA DEL JARDÍN DE INFANTES N° 901 ""DOMINGUITO"", DE LA CIUDAD DE SAN ISIDRO, POR ENCONTRARSE CELEBRANDO SUS 75 AÑOS."
00802-2024-HCD,2024-10-10,RES - Resolución,Bloque Cambia San Isidro,Alvarado Guido,Declaración de Interes,Sancionado,2024-10-17,2024-10-24,7,"EL H.C.D. DECLARA DE INTERÉS LA ""XI JORNADA DE HISTORIAS DE LA CIUDAD DE MARTÍNEZ"" A REALIZARSE EL 23 DE NOVIEMBRE DE 2024 EN LA SEDE DEL AUTOMÓVIL CLUB ARGENTINO., DE DICHA CIUDAD"
11697-2024-S,2024-10-14,ORD - Ordenanza,Ejecutivo,Ejecutivo,Tránsito,Sancionado,2024-10-17,2024-12-12,56,AUTORIZAR AL DEPARTAMENTO EJECUTIVO A DICTAR NORMAS TRANSITORIAS Y EXPERIMENTALES EN MATERIA DE TRÁNSITO Y TRANSPORTE.
06006-2024-S,2024-10-14,ORD - Ordenanza,Ejecutivo,Ejecutivo,Asistencia Social,Sancionado,2024-10-17,2024-11-14,28,CREACIÓN DEL REGISTRO UNICO DE ENTIDADES CIVILES
10122-2024-S,2024-10-14,ORD - Ordenanza,Ejecutivo,Ejecutivo,Presupuesto,Sancionado,2024-10-17,2024-10-24,7,SOLICITA PRÉSTAMO BANCO PROVINCIA
11724-2024-S,2024-10-14,ORD - Ordenanza,Ejecutivo,Ejecutivo,Adhesión,Sancionado,2024-10-17,2024-10-24,7,"ADHIRIENDO A LA LEY PROVINCIAL N° 10.989, MEDIANTE LA CUAL LA PROVINCIA DE BUENOS AIRES ESTABLECE UN REGIMEN DE COBRO OBLIGATORIO DE LOS COSTOS DE DE LA ATENCIÓN DE PACIENTES QUE POSEEN RIESGO ASEGURADO."
09283-2024-S,2024-10-14,ORD - Ordenanza,Ejecutivo,Ejecutivo,Donación,Sancionado,2024-10-17,2024-10-24,7,"DONACION DE ""RESPIRADOR DE ALTA FRECUENCIA PARA EL HOSPITAL MATERNO INFANTIL DE SAN ISIDRO : DR.CARLOS GIANANTONIO "", POR EL CLUB ROTARIO"
00818-2024-HCD,2024-10-29,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Discapacidad,Archivado,2024-11-07,,685,INSTALANDO DISPOSITIVOS PARLANTES PARA CIEGOS Y PERSONAS CON DISMINUCION VISUAL EN DIVERSOS LOS SEMÁFOROS CON CRUCE PEATONAL Y EN LAS CERCANÍAS DE LAS INSTITUCIONES ORIENTADAS A PERSONAS CON ALGUNA DISCAPACIDAD VISUAL.-
00810-2024-HCD,2024-10-29,ORD - Ordenanza,Bloque Pro San Isidro,Martinez Gabriela (mandato cumplido),Otros,Sancionado,2024-11-07,2024-12-12,35,PROHIBIENDO EL USO DE PIROTECNIA EN TODO EVENTO QUE SE REALICE EN EL AMBITO DEL PARTIDO DE SAN ISIDRO.-
00819-2024-HCD,2024-10-29,DEC - Decreto,Bloque Unión X La Patria,Schuppisser Manuela,Declaración de Interes,Sancionado,2024-11-07,2024-11-14,7,"EL H.C.D. DECLARA EL 1° DE DICIEMBRE DE CADA AÑO COMO EL ""DÍA MUNDIAL DEL SIDA""."
00838-2024-HCD,2024-10-31,ORD - Ordenanza,Bloque Acción Vecinal San Isidro es Distinto - Juntos San Iisdro,Perez Walter Dr.,Otros,Archivado,2024-11-07,,685,"ESTABLECIENDO COMO REQUISITO PARA OCUPAR CARGOS COMO FUNCIONARIO PÚBLICO EN EL PODER EJECUTIVO MUNICIPAL, QUE LA PERSONA TENGA UNA RESIDENCIA MÍNIMA DE TRES AÑOS INMEDIATAMENTE ANTERIORES A SU DESIGNACIÓN EN EL PARTIDO."
00834-2024-HCD,2024-10-31,DEC - Decreto,Bloque Unión X La Patria,Schuppisser Manuela,Honorable Concejo Deliberante,Archivado,2024-11-07,,685,"INCLUYENDO AL H.C.D. A LA MUESTRA DISTRITAL DE LAS ACTIVIDADES REALIZADAS DENTRO DEL PROGRAMA JÓVENES Y MEMORIA ""MEMORIA EN MOVIMIENTO, JÓVENES EN ACCIÓN CONSTRUYENDO ESPERANZA""."
00835-2024-HCD,2024-10-31,RES - Resolución,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Repudio,Archivado,2024-11-07,,685,EL H.C.D. EXPRESA SU REPUDIO A LA RESOLUCIÓN DE LA SUPERINTENDENCIA DE SERVICIOS DE SALUD QUE LIMITA EL ACCESO A LA COBERTURA DE SALUD EN LOS PLANES CERRADOS.
00836-2024-HCD,2024-10-31,ORD - Ordenanza,Bloque Unión X La Patria,Sarmiento Celia (mandato cumplido),Cultura,Archivado,2024-11-07,,685,"DECLARANDO A LA CIUDAD DE MARTÍNEZ COMO ""CIUDAD DEL CINE Y LAS ARTES VISUALES""."
