fecha,puntaje,tienda,app,gestion,texto
2019-04-22,2,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"da error ingresar el nro de tel, no lo valida correctamente así que difícil opinar sobre la app si ni siquiera se puede terminar de configurar"
2019-04-21,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,no se puede instalar
2019-04-19,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,no reconoce numeros de telefono en ninguno de sus formatos
2019-04-19,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"no reconoce el numero de teléfono en ninguna de sus formas, con y sin 15,11,011"
2019-04-19,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"quiero registrarme y me tira numero de telefono no corresponde! a ver si se ponen la pilas y solucionan el tema. si van a hacer algo, haganlo bien de entrada"
2019-04-19,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,Me da que es un número de teléfono no válido. Los desarrolladores tendrian que solucionarlo inmediatamente...
2019-04-18,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,pongo mi mail y contraseña y me dice que no es una cuenta y son las cuentas mias propias no me puedo registrar
2019-04-18,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,no acepta el número de celular
2019-04-18,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,me quize registrar y todo el tiempo me da error el celular. Probe de mil maneras distintas y fue imposible. Una pena....
2019-04-18,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Malísima, me quiero registrar y me dice que el número es incorrecto, probé alternativas y lo mismo, no la recomiendo"
2019-04-17,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"muy cpmplicada para bajar Privacidad esta totalmente en ingles MAL no es rapida para llamar , Es un buen intento pero falla la implementacion. Lo siento"
2019-04-16,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"esta muy buena la usea para una rama caida, estaría bueno que en tránsito este la opción cuabdo tapan una rampa para discapacitados, gracias"
2019-04-15,4,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"Práctica. Interesante. En adelante debería sumar muchas funciones útiles; por ejemplo: denuncias de vehículos abandonados, zonas inundadas, vandalismo urbano, turnos para licencia de conducir, etcétera."
2019-04-11,1,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,están Registrarme y me olvidé mi contraseña superpuestos por lo cual no puedo registrarme ya que la única opción que aparece al presionar es la de me olvidé la contraseña
2019-04-09,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,excelente aplicación
2019-02-18,5,Google Play,San Isidro Digital (com.munidigital.sanisidro),anterior,"estaria bueno que esten las opciones de ""ruidos molestos"" ""disturbios en via publica"" etc"
